N°;Marca;S;Madre:;NW;Nascita:
1; IT059990114870  ; F  ; IT059000017146  ; N  ; 07/09/2008  
2; IT059990114878  ; F  ; IT059000401645  ; N  ; 29/10/2008  
3; IT059990114887  ; F  ; IT059990068217  ; N  ; 18/03/2009  
4; IT059990162329  ; F  ; IT059990114867  ; N  ; 24/04/2011  
5; IT059990162332  ; F  ; IT059000051885  ; N  ; 28/04/2011  
6; IT059990162334  ; F  ; IT059000411087  ; N  ; 05/05/2011  
7; IT059990162340  ; F  ; IT059990068251  ; N  ; 12/09/2011  
8; IT059990206210  ; F  ; IT059990034200  ; N  ; 13/03/2012  
9; IT059990206213  ; F  ; IT059990114870  ; N  ; 17/03/2012  
10; IT059990206214  ; F  ; IT059990068240  ; N  ; 02/06/2012  
11; IT059990206236  ; F  ; IT059990068253  ; N  ; 06/01/2013  
12; IT059990242315  ; F  ; IT059990034227  ; N  ; 22/08/2013  
13; IT059990242321  ; F  ; IT059000411089  ; N  ; 29/10/2013  
14; IT059990242336  ; F  ; IT059990114908  ; N  ; 24/05/2014  
15; IT059990242343  ; F  ; IT059990162334  ; N  ; 06/08/2014  
16; IT059990281102  ; F  ; IT059990206207  ; N  ; 03/02/2015  
17; IT059990281111  ; F  ; IT059990162340  ; N  ; 06/07/2015  
18; IT059990281116  ; F  ; IT059990206236  ; N  ; 22/09/2015  
19; IT059990281121  ; F  ; IT059990162334  ; N  ; 03/10/2015  
20; IT059990281123  ; F  ; IT059990206240  ; N  ; 04/10/2015  
21; IT059990281126  ; F  ; IT059990206210  ; N  ; 09/10/2015  
22; IT059990281131  ; F  ; IT059990242319  ; N  ; 25/01/2016  
23; IT059990281137  ; F  ; IT059990034247  ; N  ; 22/02/2016  
24; IT059990281143  ; F  ; IT059990162313  ; W  ; 21/06/2016  
25; IT059990281144  ; F  ; IT059990162313  ; W  ; 21/06/2016  
26; IT059990281146  ; F  ; IT059990206195  ; N  ; 13/08/2016  
27; IT059990281147  ; F  ; IT059990206212  ; N  ; 14/08/2016  
28; IT059990281148  ; F  ; IT059990162298  ; N  ; 18/08/2016  
29; IT059990334365  ; F  ; IT059990114879  ; W  ; 10/11/2016  
30; IT059990334366  ; F  ; IT059990114879  ; W  ; 10/11/2016  
31; IT059990334375  ; F  ; IT059990242315  ; N  ; 06/03/2017  
32; IT059990334376  ; F  ; IT059990114882  ; N  ; 08/03/2017  
33; IT059990334377  ; F  ; IT059990162301  ; N  ; 08/03/2017  
